subj,run,abs_rms_mean
102,1,0.165777529109589
102,2,0.107636126027397
102,3,0.091738807465754
102,4,0.10539333390411
102,5,0.083418583561644
102,6,0.076152847260274
103,1,0.160098865753425
103,2,0.16594288630137
103,3,0.152043584246575
103,4,0.259284156164383
103,5,0.24015573869863
103,6,0.208149801027397
104,1,0.507606285616438
104,2,0.419733399315069
104,3,0.78808801130137
104,4,0.474362784931507
104,5,0.194263371917808
104,6,0.35617666369863
105,1,0.223717907534247
105,2,0.143364946267123
105,3,0.160607777739726
105,4,0.225181014212329
105,5,0.360592951369863
105,6,0.383397164520548
106,1,0.134897069178082
106,2,0.251818263116438
106,3,0.413027182876712
106,4,0.221013553082192
106,5,0.237505585958904
106,6,0.214719858904109
107,1,0.230094890410959
107,2,0.279798326575342
107,3,0.173964820616438
107,4,0.134105207191781
107,5,0.167319810958904
107,6,0.186078258561644
108,1,0.243847689383562
108,2,0.077469598630137
108,3,0.077706191438356
108,4,0.091505724315069
108,5,0.288076666541096
108,6,0.838545551369863
109,1,0.164023646575342
109,2,0.200593837671233
109,3,0.173368644863014
109,4,0.266964867465753
109,5,0.419939656164383
109,6,0.172933475
111,1,0.114572979315068
111,2,0.135402531506849
111,3,0.135439857876712
111,4,0.15328426369863
111,5,0.134834059931507
111,6,0.126306275684932
112,1,0.239448874657534
112,2,0.298642397945206
112,3,0.152505828424658
112,4,0.282012363013699
112,5,0.162380302739726
112,6,0.143672638497653
113,1,0.128488906506849
113,2,0.086051903767123
113,3,0.091128637328767
113,4,0.182607265410959
113,5,0.092972564383562
113,6,0.132990495205479
114,1,0.251314802054795
114,2,0.224580320890411
114,3,0.541887623972603
114,4,0.361988433219178
114,5,1.31197478013699
114,6,0.763179380753425
115,1,0.218062780205479
115,2,0.189595163321918
115,3,0.210059008561644
115,4,0.17780656130137
115,5,0.211950364041096
115,6,0.326651342465753
116,1,0.415124596917808
116,2,0.18764056609589
116,3,0.509578137808219
116,4,0.319578273287671
116,5,0.320398418493151
116,6,0.26381930239726
117,1,0.083207598561644
117,2,0.062937986027397
117,3,0.106212979794521
117,4,0.206855098972603
117,5,0.359782845890411
117,6,0.334415668972603
118,1,0.172796745205479
118,2,0.185624479006849
118,3,0.312883756849315
118,4,0.390686759589041
118,5,0.366671675376712
118,6,0.407376960616438
119,1,0.189925891780822
119,2,0.174882230821918
119,3,0.227725303424658
119,4,0.226211566780822
119,5,0.205564845890411
119,6,0.232171806849315
120,1,0.409700814726027
120,2,0.590793171232877
120,3,2.01925018424658
120,4,0.329933062671233
120,5,0.749084047226028
120,6,0.844456040753425
121,1,0.126094626712329
121,2,0.089645579452055
121,3,0.104105871335616
121,4,0.119125060616438
121,5,0.092846167808219
121,6,0.12122362260274
122,1,0.245510444520548
122,2,0.530391410958904
122,3,0.495799056506849
122,4,0.24468308390411
122,5,0.29042475890411
122,6,0.149141182191781
123,1,0.11977743369863
123,2,0.337242580136987
123,3,0.267423157534247
123,4,0.222943560958904
123,5,0.261138934931507
123,6,0.201504416438356
124,1,0.117821567123288
124,2,0.481492369863014
124,3,0.174494921917808
124,4,0.165279125342466
124,5,0.194077167465753
124,6,0.123487905136986
125,1,0.389184170205479
125,2,0.124655026506849
125,3,0.112851021917808
125,4,0.160129881164384
125,5,0.118902695719178
125,6,0.177305715753425
